_id,O*NET-SOC Code,Title,Description,topJob
o_jobs/96e20686-6161-4d8f-ad64-878836db22d4,11,Top Job 11,Level-1 (virtual) Job entry,11
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",11
o_jobs/c7730e17-eb87-40d9-b6fc-479109173963,11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",11
o_jobs/fe31e3bd-5b4b-46b7-a57c-436b9549f446,11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services.",11
o_jobs/51591788-7ff1-40a2-91d3-114cb14c65f6,11-1031.00,Legislators,"Develop, introduce or enact laws and statutes at the local, tribal, State, or Federal level. Includes only workers in elected positions.",11
o_jobs/a1e08516-1718-4daa-a014-2e06f06b88c0,11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",11
o_jobs/c0b476c6-6902-4feb-8302-6f59962a63b1,11-2011.01,Green Marketers,Create and implement methods to market green products and services.,11
o_jobs/145a3b8a-506f-49b0-a4a0-7c418b4eb1a5,11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",11
o_jobs/34259c87-90dc-411c-87f6-afd373dba3f3,11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",11
o_jobs/726177be-3d31-4b40-ba55-00594672bb83,11-2031.00,Public Relations and Fundraising Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client; or if engaged in fundraising, plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",11
o_jobs/97c1f301-545a-4b88-9c03-7670c8069fe1,11-3011.00,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, facilities planning and maintenance, custodial operations, and other office support services.",11
o_jobs/6b7edf74-0504-4f7e-bccb-453c2ceb0512,11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",11
o_jobs/c8483d8b-500b-4047-a963-6edf348adadc,11-3031.00,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",11
o_jobs/e4f9ae6c-6328-4a7c-8897-1f39c91b917b,11-3031.01,Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",11
o_jobs/a8fc38fd-45f1-48a8-989b-15ac2c68c3d3,11-3031.02,"Financial Managers, Branch or Department","Direct and coordinate financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.",11
